,Manifold Sculpting,Isomap,LLE,HLLE
250,0.00324049745368007,0.2095570738487347,0.16469787796488738,0.0626224005237434
353,0.0012105612399128427,0.31478915180828637,0.23037145625370753,0.031594242162525576
500,0.0020451352701711292,0.2494325634504738,0.16429662838507503,0.016043845548506624
707,0.0016447617096641068,0.16784317143229716,0.13942997816362777,0.016780372585090805
1000,0.00017118425138027687,0.084165077716978953,0.05573163801151964,0.00120514106695286
1414,0.00027087325643360187,0.0569031076651363,0.014886200231260982,0.001659539221900478
