,Manifold Sculpting,Isomap,LLE,HLLE
10,0.001266778162169509,0.1671360352309935,0.15158044917108346,0.017496359108005727
15,0.0010361471210114173,0.17191322476905538,0.14971097140172734,0.017561109114119156
20,0.006923845917967131,0.17127785626370487,0.12135269942081292,0.017350030896546256
25,0.007252372492602394,0.17266247782146832,0.12562429643829173,0.017525816772329392
30,0.0017061234457564095,0.17307457454221292,0.12221474673375517,0.017534360451072345
40,0.016719560726418245,0.10857364704878869,0.14600259959799314,0.025996058475434159
